,Gene,Gene_name,Vanc_l2fc,Vanc_q,Rif_l2fc,Rif_q,INH_l2fc,INH_q,Emb_l2fc,Emb_q
3046,RVBD1151c,rv1151c,-0.09,1,-0.02,1,0.07,1,0.04,1
3047,RVBD1867,rv1867,-0.09,1,0.15,1,-0.05,1,-0.17,1
3048,RVBD3433c,rv3433c,-0.09,1,0.20,1,0.60,1,0.58,1
3049,RVBD2510c,rv2510c,-0.09,1,-0.18,1,0.15,1,-0.05,1
3050,RVBD3903c,rv3903c,-0.09,1,-0.11,1,-0.22,1,-0.29,1
3051,RVBD1568,bioA,-0.09,1,0.10,1,0.18,1,-0.06,1
3052,RVBD2730,rv2730,-0.09,1,-0.25,1,0.09,1,0.24,1
3053,RVBD2887,rv2887,-0.09,1,-0.20,1,-0.97,1,0.32,1
3054,RVBD2081c,rv2081c,-0.09,1,0.29,1,0.38,1,0.05,1
3055,RVBD1647,rv1647,-0.09,1,-0.51,1,0.36,1,-0.13,1
3056,RVBD2811,rv2811,-0.09,1,-0.22,1,-0.22,1,-0.03,1
3057,RVBD2022c,rv2022c,-0.09,1,0.15,1,-0.20,1,0.25,1
3058,RVBD0188,rv0188,-0.09,1,0.13,1,-0.26,1,0.07,1
3059,RVBD3146,nuoB,-0.09,1,-0.01,1,-0.07,1,0.36,1
3060,RVBD0602c,tcrA,-0.09,1,0.44,1,0.18,1,0.14,1
3061,RVBD1271c,rv1271c,-0.09,1,-0.35,1,0.14,1,-0.29,1
3062,RVBD1478,rv1478,-0.09,1,-0.62,1,1.15,0.792712,-0.52,1
3063,RVBD1134,rv1134,-0.09,1,-0.03,1,-0.14,1,-0.02,1
3064,RVBD0567,rv0567,-0.09,1,0.09,1,0.02,1,0.09,1
3065,RVBD3254,rv3254,-0.09,1,-0.17,1,0.01,1,-0.06,1
3066,RVBD2126c,PE_PGRS37,-0.09,1,0.32,1,-0.05,1,0.09,1
3067,RVBD3557c,rv3557c,-0.09,1,0.03,1,-0.68,1,-0.31,1
3068,RVBD0083,rv0083,-0.09,1,0.08,1,-0.68,1,0.13,1
3069,RVBD1608c,bcpB,-0.09,1,-0.02,1,-0.06,1,-0.36,1
3070,RVBD2059,rv2059,-0.09,1,0.23,1,0.16,1,0.37,1
3071,RVBD3357,relJ,-0.09,1,0.04,1,0.04,1,0.42,1
3072,RVBD3535c,hsaG,-0.09,1,0.02,1,-0.13,1,-0.08,1
3073,RVBD1031,kdpC,-0.09,1,-0.68,1,-0.26,1,-0.13,1
3074,RVBD1690,lprJ,-0.09,1,0.60,1,0.01,1,-0.12,1
3075,RVBD0797,rv0797,-0.09,1,0.07,1,0.08,1,0.24,1
3076,RVBD1285,cysD,-0.09,1,0.29,1,-0.38,1,-1.69,1
3077,RVBD3732,rv3732,-0.09,1,0.09,1,-0.18,1,0.28,1
3078,RVBD0387c,rv0387c,-0.09,1,0.00,1,-0.28,1,-0.04,1
3079,RVBD0549c,vapC3,-0.09,1,0.58,1,0.14,1,0.48,1
3080,RVBD1953,vapC14,-0.09,1,0.03,1,-0.07,1,-0.05,1
3081,RVBD1591,rv1591,-0.10,1,-0.14,1,-0.39,1,-0.03,1
3082,RVBD1740,vapB34,-0.10,1,-0.11,1,-0.10,1,-0.04,1
3083,RVBD0918,rv0918,-0.10,1,0.03,1,-0.15,1,0.25,1
3084,RVBD3315c,cdd,-0.10,1,0.12,1,0.23,1,0.34,1
3085,RVBD3640c,rv3640c,-0.10,1,-0.17,1,0.00,1,-0.02,1
3086,RVBD1261c,rv1261c,-0.10,1,-0.28,1,-0.01,1,-0.46,1
3087,RVBD3900c,rv3900c,-0.10,1,0.29,1,-0.34,1,0.43,1
3088,RVBD0649,fabD2,-0.10,1,0.10,1,-0.27,1,-0.03,1
3089,RVBD2571c,rv2571c,-0.10,1,-0.23,1,-0.39,1,-0.72,1
3090,RVBD2561,rv2561,-0.10,1,-0.17,1,0.37,1,-0.05,1
3091,RVBD3692,moxR2,-0.10,1,-0.02,1,-0.57,1,0.56,1
3092,RVBD1801,PPE29,-0.10,1,0.07,1,0.12,1,0.19,1
3093,RVBD3093c,rv3093c,-0.10,1,0.03,1,-0.39,1,-0.19,1
3094,RVBD1452c,PE_PGRS28,-0.10,1,0.15,1,-0.10,1,0.21,1
3095,RVBD3059,cyp136,-0.10,1,-0.31,1,-0.26,1,0.01,1
3096,RVBD1906c,rv1906c,-0.10,1,0.19,1,0.40,1,-0.36,1
3097,RVBD3015c,rv3015c,-0.10,1,-0.13,1,0.04,1,0.25,1
3098,RVBD3897c,rv3897c,-0.10,1,0.01,1,-0.43,1,0.26,1
3099,RVBD3701c,rv3701c,-0.10,1,0.55,1,-0.32,1,-0.83,1
3100,RVBD0071,rv0071,-0.10,1,0.38,1,-0.45,1,0.03,1
3101,RVBD2639c,rv2639c,-0.10,1,0.06,1,0.15,1,-0.09,1
3102,RVBD3235,rv3235,-0.10,1,0.04,1,-0.35,1,-0.07,1
3103,RVBD2825c,rv2825c,-0.10,1,0.76,1,-0.11,1,0.10,1
3104,RVBD0450c,mmpL4,-0.10,1,-0.12,1,-0.08,1,-0.68,0.086673
3105,RVBD1682,rv1682,-0.10,1,0.16,1,0.31,1,-0.16,1
3106,RVBD3184,rv3184,-0.10,1,-0.03,1,-0.08,1,0.32,1
3107,RVBD1675c,cmr,-0.10,1,-0.57,1,0.07,1,-0.15,1
3108,RVBD2028c,rv2028c,-0.10,1,-0.09,1,0.20,1,-0.28,1
3109,RVBD2881c,cdsA,-0.10,1,-0.58,1,-1.64,1,-1.30,1
3110,RVBD2118c,rv2118c,-0.10,1,-0.20,1,-0.02,1,-0.50,1
3111,RVBD2829c,vapC22,-0.10,1,0.61,1,-0.31,1,0.14,1
3112,RVBD3510c,rv3510c,-0.10,1,-0.05,1,-0.44,1,-0.10,1
3113,RVBD0196,rv0196,-0.10,1,-0.06,1,-0.03,1,0.35,1
3114,RVBD1278,rv1278,-0.10,1,0.17,1,-0.04,1,-0.30,1
3115,RVBD0505c,serB1,-0.10,1,0.29,1,-0.36,1,0.46,1
3116,RVBD2261c,rv2261c,-0.10,1,-0.22,1,0.17,1,-0.10,1
3117,RVBD3080c,pknK,-0.10,1,-0.07,1,-0.11,1,0.02,1
3118,RVBD1221,sigE,-0.10,1,0.28,1,0.71,1,-1.09,1
3119,RVBD0847,lpqS,-0.10,1,0.11,1,-0.08,1,-0.23,1
3120,RVBD3294c,rv3294c,-0.10,1,-0.15,1,-0.16,1,-0.48,1
3121,RVBD0914c,rv0914c,-0.10,1,0.05,1,-0.14,1,-0.02,1
3122,RVBD3201c,rv3201c,-0.10,1,0.03,1,-0.22,1,0.23,1
3123,RVBD3394c,rv3394c,-0.10,1,0.12,1,-0.11,1,0.00,1
3124,RVBD0079,rv0079,-0.10,1,-0.01,1,-0.33,1,-0.22,1
3125,RVBD1725c,rv1725c,-0.10,1,0.11,1,0.11,1,-0.05,1
3126,RVBD0971c,echA7,-0.10,1,0.39,1,-0.01,1,0.48,1
3127,RVBD3675,rv3675,-0.10,1,-0.63,1,-0.79,1,0.04,1
3128,RVBD3203,lipV,-0.10,1,-0.11,1,0.12,1,0.04,1
3129,RVBD2696c,rv2696c,-0.10,1,-0.33,1,-0.17,1,-1.24,1
3130,RVBD0281,rv0281,-0.11,1,-0.04,1,0.05,1,0.08,1
3131,RVBD3037c,rv3037c,-0.11,1,0.15,1,0.71,1,0.16,1
3132,RVBD1588c,rv1588c,-0.11,1,-0.20,1,0.35,1,-0.23,1
3133,RVBD2289,cdh,-0.11,1,-0.13,1,0.00,1,0.47,1
3134,RVBD0975c,fadE13,-0.11,1,-0.15,1,-0.10,1,0.01,1
3135,RVBD1078,pra,-0.11,1,-0.04,1,0.75,1,2.75,0.436413
3136,RVBD0838,lpqR,-0.11,1,-0.15,1,0.18,1,-0.04,1
3137,RVBD1403c,rv1403c,-0.11,1,0.02,1,0.17,1,-0.13,1
3138,RVBD1467c,fadE15,-0.11,1,-0.07,1,-0.01,1,0.06,1
3139,RVBD3440c,rv3440c,-0.11,1,0.13,1,0.14,1,0.15,1
3140,RVBD2878c,mpt53,-0.11,1,-0.62,1,0.23,1,-0.29,1
3141,RVBD2978c,rv2978c,-0.11,1,0.34,1,0.37,1,-0.04,1
3142,RVBD0393,rv0393,-0.11,1,0.16,1,-0.23,1,0.02,1
3143,RVBD3338,rv3338,-0.11,1,0.04,1,-0.19,1,-0.59,1
3144,RVBD3756c,proZ,-0.11,1,-0.10,1,-0.07,1,0.03,1
3145,RVBD1755c,plcD,-0.11,1,-0.18,1,-0.03,1,0.45,1
3146,RVBD3092c,rv3092c,-0.11,1,-0.16,1,0.37,1,0.19,1
3147,RVBD0296c,rv0296c,-0.11,1,0.06,1,-0.83,1,0.10,1
3148,RVBD2226,rv2226,-0.11,1,0.17,1,0.08,1,0.10,1
3149,RVBD3312A,rv3312A,-0.11,1,0.04,1,0.01,1,-0.04,1
3150,RVBD0760c,rv0760c,-0.11,1,-0.33,1,-0.18,1,-0.53,1
3151,RVBD1927,rv1927,-0.11,1,0.03,1,0.06,1,0.04,1
3152,RVBD1500,rv1500,-0.11,1,-0.34,1,0.14,1,-0.22,1
3153,RVBD3911,sigM,-0.11,1,-0.04,1,-0.10,1,-0.01,1
3154,RVBD1400c,lipI,-0.11,1,0.26,1,-0.09,1,-0.25,1
3155,RVBD3707c,rv3707c,-0.11,1,0.33,1,-0.13,1,-0.15,1
3156,RVBD3104c,rv3104c,-0.11,1,0.09,1,-0.02,1,-0.42,1
3157,RVBD3479,rv3479,-0.11,1,-0.01,1,0.12,1,0.15,1
3158,RVBD2695,rv2695,-0.11,1,0.11,1,0.14,1,-0.02,1
3159,RVBD2809,rv2809,-0.11,1,0.23,1,-0.16,1,0.83,1
3160,RVBD2190Ac,rv2189c,-0.11,1,-0.12,1,0.24,1,-1.37,0.105561
3161,RVBD1581c,rv1581c,-0.11,1,-0.16,1,-0.19,1,-0.21,1
3162,RVBD0653c,rv0653c,-0.11,1,-0.17,1,-0.78,0.835401,-0.25,1
3163,RVBD1551,plsB1,-0.11,1,-0.24,1,0.03,1,-0.12,1
3164,RVBD1954A,rv1954A,-0.11,1,0.19,1,0.12,1,-0.04,1
3165,RVBD0210,rv0210,-0.11,1,0.06,1,-0.02,1,0.03,1
3166,RVBD2230c,rv2230c,-0.11,1,0.16,1,0.56,1,-0.36,1
3167,RVBD0148,rv0148,-0.11,1,-0.12,1,-0.42,1,0.08,1
3168,RVBD0677c,mmpS5,-0.11,1,0.09,1,0.09,1,0.40,1
3169,RVBD1534,rv1534,-0.11,1,0.07,1,-0.48,1,0.45,1
3170,RVBD2615c,PE_PGRS45,-0.11,1,-0.01,1,0.05,1,-0.25,1
3171,RVBD3337,rv3337,-0.11,1,-0.18,1,-0.04,1,-0.32,1
3172,RVBD0081,rv0081,-0.11,1,0.02,1,-0.48,1,-0.45,1
3173,RVBD3167c,rv3167c,-0.11,1,-0.26,1,-0.24,1,0.02,1
3174,RVBD1863c,rv1863c,-0.11,1,0.03,1,0.06,1,-0.07,1
3175,RVBD2675c,rv2675c,-0.11,1,-0.07,1,0.10,1,0.10,1
3176,RVBD1899c,lppD,-0.11,1,-0.10,1,-0.14,1,0.23,1
3177,RVBD2287,yjcE,-0.11,1,-0.20,1,0.25,1,0.22,1
3178,RVBD1950c,rv1950c,-0.11,1,-0.03,1,-0.49,1,-0.25,1
3179,RVBD1803c,PE_PGRS32,-0.11,1,0.33,1,0.05,1,0.10,1
3180,RVBD1786,rv1786,-0.11,1,-0.31,1,-0.09,1,0.36,1
3181,RVBD1593c,rv1593c,-0.11,1,0.22,1,-0.66,1,0.71,1
3182,RVBD3078,hab,-0.11,1,0.04,1,0.09,1,-0.06,1
3183,RVBD3706c,rv3706c,-0.11,1,-0.03,1,0.01,1,-0.24,1
3184,RVBD0269c,rv0269c,-0.11,1,0.15,1,-0.17,1,0.11,1
3185,RVBD0790c,rv0790c,-0.11,1,-0.15,1,-0.11,1,-0.04,1
3186,RVBD0990c,rv0990c,-0.11,1,-0.23,1,-0.10,1,0.06,1
3187,RVBD0829,rv0829,-0.11,1,-0.22,1,0.27,1,-0.47,1
3188,RVBD3070,rv3070,-0.11,1,-0.48,1,0.04,1,-0.27,1
3189,RVBD2661c,rv2661c,-0.11,1,-0.36,1,0.34,1,-0.06,1
3190,RVBD2877c,rv2877c,-0.12,1,0.09,1,-0.02,1,0.12,1
3191,RVBD2897c,rv2897c,-0.12,1,-0.50,1,0.23,1,0.14,1
3192,RVBD3923c,rnpA,-0.12,1,-2.47,1,1.28,1,0.97,1
3193,RVBD0197,rv0197,-0.12,1,0.04,1,-0.11,1,0.07,1
3194,RVBD3629c,rv3629c,-0.12,1,-0.03,1,0.00,1,0.01,1
3195,RVBD0807,rv0807,-0.12,1,0.78,1,-0.46,1,0.16,1
3196,RVBD1387,PPE20,-0.12,1,0.20,1,-0.88,0.403122,-0.40,1
3197,RVBD3591c,rv3591c,-0.12,1,0.03,1,-0.24,1,-0.13,1
3198,RVBD0078B,rv0078B,-0.12,1,0.00,1,0.04,1,-0.04,1
3199,RVBD3569c,hsaD,-0.12,1,0.14,1,0.13,1,0.22,1
3200,RVBD3739c,PPE67,-0.12,1,0.10,1,0.43,1,-0.61,1
3201,RVBD2982c,gpdA2,-0.12,1,0.04,1,-0.11,1,-0.20,1
3202,RVBD1510,rv1510,-0.12,1,0.12,1,0.00,1,-0.33,1
3203,RVBD0769,rv0769,-0.12,1,-0.30,1,0.10,1,-0.08,1
3204,RVBD1804c,rv1804c,-0.12,1,-0.04,1,-0.10,1,0.45,1
3205,RVBD3069,rv3069,-0.12,1,0.19,1,-0.40,1,-0.07,1
3206,RVBD1734c,rv1734c,-0.12,1,-0.59,1,0.55,1,-0.27,1
3207,RVBD0133,rv0133,-0.12,1,0.22,1,-0.10,1,0.00,1
3208,RVBD0910,rv0910,-0.12,1,-0.62,1,0.08,1,1.01,1
3209,RVBD3148,nuoD,-0.12,1,-0.36,1,0.11,1,0.11,1
3210,RVBD3133c,devR,-0.12,1,0.07,1,-0.16,1,-0.84,1
3211,RVBD3823c,mmpL8,-0.12,1,-0.26,1,-0.42,1,-1.29,1
3212,RVBD0448c,rv0448c,-0.12,1,-0.35,1,-0.05,1,-0.07,1
3213,RVBD0360c,rv0360c,-0.12,1,-0.26,1,0.43,1,-0.20,1
3214,RVBD1992c,ctpG,-0.12,1,0.15,1,0.01,1,-0.29,1
3215,RVBD1996,rv1996,-0.12,1,-0.06,1,0.06,1,0.13,1
3216,RVBD0149,rv0149,-0.12,1,0.12,1,0.02,1,-0.67,1
3217,RVBD1849,ureB,-0.12,1,0.55,1,-0.04,1,0.31,1
3218,RVBD2831,echA16,-0.12,1,0.04,1,-0.17,1,0.56,1
3219,RVBD3327,rv3327,-0.12,1,-0.21,1,-0.01,1,-0.09,1
3220,RVBD3729,rv3729,-0.12,1,-0.03,1,-0.11,1,0.24,1
3221,RVBD3452,cut4,-0.12,1,0.08,1,0.06,1,0.04,1
3222,RVBD0492c,rv0492c,-0.12,1,0.28,1,-0.04,1,-0.12,1
3223,RVBD3576,lppH,-0.12,1,-0.03,1,-0.03,1,0.00,1
3224,RVBD3023c,rv3023c,-0.12,1,-0.03,1,-0.15,1,0.12,1
3225,RVBD0099,fadD10,-0.13,1,-0.15,1,-0.30,1,0.11,1
3226,RVBD0278c,PE_PGRS3,-0.13,1,0.05,1,-0.56,1,0.25,1
3227,RVBD2884,rv2884,-0.13,1,-0.17,1,-0.37,1,-0.51,1
3228,RVBD2377c,mbtH,-0.13,1,-0.15,1,0.54,1,-0.71,1
3229,RVBD2125,rv2125,-0.13,1,-0.10,1,0.46,1,-0.32,1
3230,RVBD2092c,helY,-0.13,1,-0.11,1,-0.75,1,0.33,1
3231,RVBD1870c,rv1870c,-0.13,1,-0.17,1,0.15,1,0.29,1
3232,RVBD1790,PPE27,-0.13,1,0.05,1,0.11,1,0.20,1
3233,RVBD3728,rv3728,-0.13,1,0.11,1,-0.36,1,0.32,1
3234,RVBD1859,modC,-0.13,1,-0.04,1,0.30,1,-0.40,1
3235,RVBD2946c,pks1,-0.13,1,-0.17,1,-0.11,1,-0.25,1
3236,RVBD2802c,rv2802c,-0.13,1,0.39,1,-0.22,1,-0.05,1
3237,RVBD1312,rv1312,-0.13,1,-4.53,0.02444,-1.71,0.605808,-0.65,1
3238,RVBD1900c,lipJ,-0.13,1,-0.39,1,-0.34,1,-0.16,1
3239,RVBD1197,esxK,-0.13,1,0.07,1,0.20,1,0.21,1
3240,RVBD1401,rv1401,-0.13,1,0.28,1,-0.07,1,0.37,1
3241,RVBD3435c,rv3435c,-0.13,1,-0.29,1,-0.10,1,0.44,1
3242,RVBD2740,ephG,-0.13,1,0.12,1,-0.10,1,-0.37,1
3243,RVBD1909c,furA,-0.13,1,0.29,1,-4.05,0.067281,0.68,1
3244,RVBD1864c,rv1864c,-0.13,1,-0.13,1,0.25,1,-0.32,1
3245,RVBD1733c,rv1733c,-0.13,1,0.26,1,-0.21,1,-0.38,1
3246,RVBD3584,lpqE,-0.13,1,0.17,1,-1.68,1,0.18,1
3247,RVBD3642c,rv3642c,-0.13,1,-0.15,1,-0.27,1,0.60,1
3248,RVBD0761c,adhB,-0.13,1,-0.05,1,-0.06,1,0.00,1
3249,RVBD3540c,ltp2,-0.13,1,-0.18,1,-0.62,1,0.39,1
3250,RVBD2905,lppW,-0.13,1,0.56,1,-0.26,1,-0.90,0.880197
3251,RVBD1757c,rv1757c,-0.13,1,0.15,1,0.00,1,0.38,1
3252,RVBD1934c,fadE17,-0.13,1,0.12,1,-0.11,1,0.35,1
3253,RVBD1792A,esxM,-0.13,1,0.21,1,0.32,1,0.44,1
3254,RVBD1904,rv1904,-0.13,1,-0.06,1,-0.11,1,-0.02,1
3255,RVBD3289c,rv3289c,-0.13,1,0.48,1,0.04,1,-0.18,1
3256,RVBD3697A,vapB48,-0.13,1,-0.89,1,0.19,1,-0.67,1
3257,RVBD3828c,rv3828c,-0.13,1,0.16,1,0.19,1,0.10,1
3258,RVBD3209,rv3209,-0.13,1,-0.23,1,0.03,1,-0.10,1
3259,RVBD3854c,ethA,-0.13,1,-0.09,1,-0.25,1,0.10,1
3260,RVBD0222,echA1,-0.13,1,-0.03,1,-0.29,1,0.05,1
3261,RVBD1787,PPE25,-0.13,1,0.28,1,0.01,1,-0.02,1
3262,RVBD2559c,rv2559c,-0.13,1,0.23,1,-0.03,1,0.11,1
3263,RVBD3263,rv3263,-0.13,1,0.09,1,-0.19,1,-0.08,1
3264,RVBD1441c,PE_PGRS26,-0.13,1,0.05,1,-0.19,1,0.22,1
3265,RVBD1535,rv1535,-0.13,1,-0.15,1,0.20,1,0.35,1
3266,RVBD3623,lpqG,-0.13,1,0.05,1,-0.08,1,-0.10,1
3267,RVBD0078,rv0078,-0.13,1,-0.23,1,-0.96,0.555108,0.16,1
3268,RVBD0457c,rv0457c,-0.13,1,0.17,1,-0.19,1,-0.25,1
3269,RVBD1239c,corA,-0.13,1,-0.24,1,-0.19,1,-0.12,1
3270,RVBD2548A,rv2548A,-0.14,1,0.20,1,-0.26,1,-1.55,1
3271,RVBD2401,rv2401,-0.14,1,-0.58,1,0.02,1,-0.49,1
3272,RVBD1843c,guaB1,-0.14,1,0.17,1,0.48,1,-0.11,1
3273,RVBD1487,rv1487,-0.14,1,0.42,1,-0.83,1,-0.34,1
3274,RVBD2722,rv2722,-0.14,1,0.88,1,0.81,1,-1.01,1
3275,RVBD0628c,rv0628c,-0.14,1,0.06,1,0.10,1,-0.09,1
3276,RVBD2470,glbO,-0.14,1,0.60,1,1.65,0.260376,-0.05,1
3277,RVBD3616c,espA,-0.14,1,0.12,1,-0.05,1,-0.37,1
3278,RVBD1064c,lpqV,-0.14,1,0.32,1,-0.34,1,0.43,1
3279,RVBD2618,rv2618,-0.14,1,0.19,1,-0.50,1,-0.76,1
3280,RVBD3813c,rv3813c,-0.14,1,0.08,1,-1.32,0.469439,0.51,1
3281,RVBD3827c,rv3827c,-0.14,1,0.02,1,-0.09,1,-0.10,1
3282,RVBD2891,rv2891,-0.14,1,-0.02,1,-0.10,1,-0.19,1
3283,RVBD1065,rv1065,-0.14,1,0.03,1,-0.12,1,0.13,1
3284,RVBD3785,rv3785,-0.14,1,-0.18,1,-0.16,1,0.00,1
3285,RVBD1788,PE18,-0.14,1,-0.28,1,0.26,1,-0.25,1
3286,RVBD0969,ctpV,-0.14,1,-0.06,1,0.06,1,0.13,1
3287,RVBD2672,rv2672,-0.14,1,-0.46,1,0.67,1,-0.48,1
3288,RVBD3563,fadE32,-0.14,1,0.08,1,0.29,1,-0.58,1
3289,RVBD2231B,vapB16,-0.14,1,0.03,1,1.61,1,0.44,1
3290,RVBD3912,rv3912,-0.14,1,-0.62,1,0.03,1,0.66,1
3291,RVBD0303,rv0303,-0.14,1,-0.04,1,-0.25,1,-0.10,1
3292,RVBD1399c,nlhH,-0.14,1,-0.48,1,0.02,1,0.23,1
3293,RVBD0987,rv0987,-0.14,1,-0.21,1,-0.02,1,0.03,1
3294,RVBD1852,ureG,-0.14,1,-0.11,1,0.34,1,0.21,1
3295,RVBD1914c,rv1914c,-0.14,1,0.17,1,0.01,1,0.15,1
3296,RVBD3776,rv3776,-0.14,1,-0.05,1,-0.29,1,0.03,1
3297,RVBD1084,rv1084,-0.14,1,0.05,1,-0.27,1,0.05,1
3298,RVBD0299,rv0299,-0.14,1,-0.27,1,0.07,1,-0.23,1
3299,RVBD2348c,rv2348c,-0.14,1,-0.01,1,-0.29,1,0.22,1
3300,RVBD0087,hycE,-0.14,1,-0.34,1,-0.12,1,-0.12,1
3301,RVBD1496,rv1496,-0.14,1,-0.19,1,0.04,1,0.35,1
3302,RVBD3590c,PE_PGRS58,-0.14,1,0.28,1,-0.24,1,0.21,1
3303,RVBD3521,rv3521,-0.14,1,0.22,1,-0.19,1,0.03,1
3304,RVBD2120c,rv2120c,-0.14,1,0.13,1,0.12,1,-0.02,1
3305,RVBD0859,fadA,-0.14,1,0.31,1,1.07,0.409466,0.15,1
3306,RVBD2750,rv2750,-0.14,1,-0.67,1,-0.12,1,-0.44,1
3307,RVBD3747,rv3747,-0.14,1,-0.35,1,-0.50,1,0.21,1
3308,RVBD1187,rocA,-0.14,1,-0.40,1,0.12,1,-0.18,1
3309,RVBD2025c,rv2025c,-0.15,1,0.12,1,-0.03,1,-0.40,1
3310,RVBD0372c,rv0372c,-0.15,1,0.00,1,-0.05,1,-0.19,1
3311,RVBD0909,rv0909,-0.15,1,-0.81,1,0.29,1,-0.17,1
3312,RVBD2161c,rv2161c,-0.15,1,0.34,1,-0.02,1,0.41,1
3313,RVBD3271c,rv3271c,-0.15,1,-0.40,1,-3.42,0,-0.27,1
3314,RVBD3308,pmmB,-0.15,1,-0.07,1,-0.22,1,0.02,1
3315,RVBD2767c,rv2767c,-0.15,1,-0.49,1,0.17,1,0.05,1
3316,RVBD1799,lppT,-0.15,1,0.17,1,-0.44,1,-0.06,1
3317,RVBD3589,mutY,-0.15,1,0.18,1,0.04,1,0.16,1
3318,RVBD2326c,rv2326c,-0.15,1,0.11,1,-0.06,1,-0.58,1
3319,RVBD0135c,rv0135c,-0.15,1,0.06,1,-1.45,1,0.70,1
3320,RVBD0147,rv0147,-0.15,1,-0.22,1,-0.39,1,0.18,1
3321,RVBD1331,rv1331,-0.15,1,-0.03,1,-0.24,1,-0.96,1
3322,RVBD3354,rv3354,-0.15,1,0.00,1,-0.24,1,-0.58,1
3323,RVBD0626,vapB5,-0.15,1,0.55,1,0.07,1,0.33,1
3324,RVBD2637,dedA,-0.15,1,0.14,1,0.05,1,-0.38,1
3325,RVBD2936,drrA,-0.15,1,-0.05,1,-0.07,1,0.29,1
3326,RVBD0610c,rv0610c,-0.15,1,-0.01,1,0.02,1,-0.78,1
3327,RVBD2659c,rv2659c,-0.15,1,-0.02,1,0.28,1,0.30,1
3328,RVBD2665,rv2665,-0.15,1,0.20,1,-0.14,1,-0.01,1
3329,RVBD1283c,oppB,-0.15,1,-0.99,1,0.16,1,0.09,1
3330,RVBD1332,rv1332,-0.15,1,0.10,1,-0.15,1,-0.44,1
3331,RVBD0618,galTa,-0.15,1,0.25,1,-0.11,1,0.09,1
3332,RVBD0205,rv0205,-0.15,1,0.12,1,-0.04,1,0.07,1
3333,RVBD3224A,rv3224A,-0.15,1,-0.46,1,0.35,1,-0.34,1
3334,RVBD2251,rv2251,-0.15,1,-0.08,1,-0.13,1,-0.17,1
3335,RVBD3126c,rv3126c,-0.16,1,1.11,1,-0.81,1,0.05,1
3336,RVBD1840c,PE_PGRS34,-0.16,1,0.38,1,-0.27,1,0.02,1
3337,RVBD3409c,choD,-0.16,1,-0.22,1,0.02,1,0.06,1
3338,RVBD1473A,rv1473A,-0.16,1,-0.16,1,0.11,1,-0.39,1
3339,RVBD0866,moaE2,-0.16,1,-0.30,1,0.20,1,-0.36,1
3340,RVBD3847,rv3847,-0.16,1,0.15,1,0.51,1,0.32,1
3341,RVBD2656c,rv2656c,-0.16,1,-0.03,1,0.08,1,0.46,1
3342,RVBD2046,lppI,-0.16,1,0.15,1,-0.12,1,0.09,1
3343,RVBD3803c,fbpD,-0.16,1,-0.19,1,-0.12,1,0.04,1
3344,RVBD3617,ephA,-0.16,1,-0.01,1,0.02,1,-0.05,1
3345,RVBD1190,rv1190,-0.16,1,-0.02,1,-0.07,1,0.10,1
3346,RVBD0442c,PPE10,-0.16,1,-0.15,1,0.01,1,-0.10,1
3347,RVBD0456c,echA2,-0.16,1,-0.19,1,-0.33,1,-0.19,1
3348,RVBD0022c,whiB5,-0.16,1,-0.26,1,-0.09,1,-0.26,1
3349,RVBD2098c,PE_PGRS36,-0.16,1,-0.12,1,-0.41,1,0.32,1
3350,RVBD1113,vapB32,-0.16,1,-1.08,1,-0.42,1,-0.61,1
3351,RVBD3094c,rv3094c,-0.16,1,-0.08,1,-0.04,1,-0.07,1
3352,RVBD3887c,eccD2,-0.16,1,-0.23,1,0.10,1,0.13,1
3353,RVBD2731,rv2731,-0.16,1,-0.30,1,1.25,0.160751,0.42,1
3354,RVBD0681,rv0681,-0.16,1,0.01,1,-0.15,1,0.59,1
3355,RVBD2325c,rv2325c,-0.16,1,-0.21,1,0.06,1,-0.49,1
3356,RVBD1977,rv1977,-0.16,1,0.10,1,0.15,1,-0.14,1
3357,RVBD3449,mycP4,-0.16,1,-0.14,1,0.05,1,-0.22,1
3358,RVBD2238c,ahpE,-0.16,1,0.62,1,-0.76,1,1.32,1
3359,RVBD2459,rv2459,-0.16,1,0.09,1,0.09,1,0.01,1
3360,RVBD0132c,fgd2,-0.16,1,-0.10,1,-0.08,1,-0.27,1
3361,RVBD0612,rv0612,-0.16,1,0.22,1,0.01,1,0.06,1
3362,RVBD0072,rv0072,-0.16,1,0.13,1,-0.47,1,1.47,0.170443
3363,RVBD0675,echA5,-0.17,1,-0.12,1,0.29,1,-0.02,1
3364,RVBD3362c,rv3362c,-0.17,1,-0.05,1,-0.16,1,0.10,1
3365,RVBD3699,rv3699,-0.17,1,-0.20,1,-0.24,1,-0.39,1
3366,RVBD0862c,rv0862c,-0.17,1,-0.40,1,0.25,1,0.42,1
3367,RVBD1954c,rv1954c,-0.17,1,-0.02,1,0.10,1,0.46,1
3368,RVBD2133c,rv2133c,-0.17,1,-0.45,1,0.31,1,-0.27,1
3369,RVBD1076,lipU,-0.17,1,-0.17,1,0.27,1,-0.08,1
3370,RVBD2430c,PPE41,-0.17,1,-0.12,1,0.34,1,-0.03,1
3371,RVBD3395c,rv3395c,-0.17,1,0.46,1,-0.32,1,0.05,1
3372,RVBD1905c,aao,-0.17,1,-0.18,1,0.26,1,-0.08,1
